tag_id;name;category;count
1733099;yae_miko;4;5664
1435530;shuten_douji_(fate);4;5656
473328;kumoi_ichirin;4;5646
413652;kurodani_yamame;4;5643
619180;kasodani_kyouko;4;5610
638583;soga_no_tojiko;4;5592
619181;miyako_yoshika;4;5551
1427460;prinz_eugen_(kancolle);4;5516
101752;hoshii_miki;4;5496
1631257;ooyodo_(kancolle);4;5453
456152;kotobuki_tsumugi;4;5431
1600563;keqing_(genshin_impact);4;5414
1448304;astolfo_(fate);4;5413
1630648;female_admiral_(kancolle);4;5408
13108;chun-li;4;5374
1372463;darjeeling_(girls_und_panzer);4;5362
382074;hiiragi_kagami;4;5341
1361469;mutsu_(kancolle);4;5321
1631410;tatsuta_(kancolle);4;5315
1478494;cu_chulainn_(fate);4;5269
1630515;asashio_(kancolle);4;5250
466360;may_(pokemon);4;5242
1532746;byleth_(fire_emblem);4;5192
1243755;kijin_seija;4;5186
1424365;pyra_(xenoblade);4;5178
7439;kinomoto_sakura;4;5176
1593595;mori_calliope;4;5176
1328621;clownpiece;4;5157
713720;nishizumi_maho;4;5153
1593596;ninomae_ina'nis;4;5129
593045;minami_kotori;4;5119
717860;rosa_(pokemon);4;5119
1405300;kaban_(kemono_friends);4;5109
1648389;yor_briar;4;5092
10658;emiya_shirou;4;5021
1495213;minato_aqua;4;5017
713721;itsumi_erika;4;4979
466669;c.c.;4;4976
710903;meiko_(vocaloid);4;4975
11941;samus_aran;4;4963
383424;aki_minoriko;4;4963
615290;hilda_(pokemon);4;4950
1630531;bismarck_(kancolle);4;4949
1646740;archer_(fate);4;4941
1448306;mordred_(fate);4;4940
1599785;aether_(genshin_impact);4;4932
1631313;sendai_(kancolle);4;4923
1533332;marnie_(pokemon);4;4923
1464562;minamoto_no_raikou_(fate);4;4918
1631252;ooi_(kancolle);4;4907
656409;yuzuki_yukari;4;4892
382075;izumi_konata;4;4858
452021;hieda_no_akyuu;4;4837
434767;caesar_anthonio_zeppeli;4;4796
1350123;akashi_(kancolle);4;4794
1233706;sekibanki;4;4768
9071;amami_haruka;4;4760
727352;anchovy_(girls_und_panzer);4;4757
1507496;takao_(kancolle);4;4740
1293664;musashi_(kancolle);4;4740
699794;nanami_chiaki;4;4735
1328650;junko_(touhou);4;4731
510663;yoko_littner;4;4679
1590956;mythra_(xenoblade);4;4644
1682533;nero_claudius_(fate/extra);4;4616
1734279;okita_souji_(koha-ace);4;4610
1442931;amiya_(arknights);4;4608
1275730;shiranui_(kancolle);4;4605
7866;tsukino_usagi;4;4576
1339317;d.va_(overwatch);4;4559
593044;kousaka_honoka;4;4558
638500;futatsuiwa_mamizou;4;4557
1248945;wo-class_aircraft_carrier;4;4554
698982;asuna_(sao);4;4534
1478256;medusa_(fate);4;4530
1631305;sazanami_(kancolle);4;4523
1631308;souryuu_(kancolle);4;4520
1243757;sukuna_shinmyoumaru;4;4516
1631484;yamashiro_(kancolle);4;4489
424565;shijou_takane;4;4488
383855;aki_shizuha;4;4481
1275727;samidare_(kancolle);4;4471
1593598;watson_amelia;4;4470
700403;akiyama_yukari;4;4468
1630992;hiei_(kancolle);4;4468
21;suigintou;4;4430
1631272;ro-500_(kancolle);4;4425
1246753;senketsu;4;4424
1544889;gloria_(pokemon);4;4412
10365;cloud_strife;4;4410
1667133;hk416_(girls'_frontline);4;4402
1593597;takanashi_kiara;4;4377
9072;kisaragi_chihaya;4;4365
279302;dio_brando;4;4360
422767;gumi;4;4359
1572405;klee_(genshin_impact);4;4357
1333552;kirishima_(kancolle);4;4342
1342225;verniy_(kancolle);4;4342
12295;letty_whiterock;4;4323
445942;gardevoir;4;4320
1595272;venti_(genshin_impact);4;4305
1231257;kiryuuin_satsuki;4;4282
1081167;mordred_(fate/apocrypha);4;4277
9078;minase_iori;4;4276
1518952;nekomata_okayu;4;4269
